"goodsname";"barcode";"article";"comment";"deleted";"amount"
"Футболка дитяча Stedman ST2000 orange 2XS 98-104";"2000000000763";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 black 2XS 98-104";"2000000000770";"6209";"";"2";"0"
"Футболка дитяча Stedman ST2000 red 2XS 98-104";"2000000000787";"6209";"";"2";"0"
"Футболка дитяча Stedman ST2000 blue 2XS 98-104";"2000000000794";"6209";"";"3";"0"
"Футболка дитяча Stedman ST2000 black XS 110-116";"2000000000800";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 yellow XS 110-116";"2000000000817";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 red XS 110-116";"2000000000824";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 pink XS 110-116";"2000000000831";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 white XS 110-116";"2000000000848";"6209";"";"1";"0"
"мультирамка 2 фото 150";"2000000000855";"3926";"";"1";"0"
"мультирамка 4 фото 170";"2000000000862";"3926";"";"1";"0"
"мультирамка 5 фото 270";"2000000000879";"3926";"";"2";"0"
"мультирамка 3 фото 290";"2000000000886";"3926";"";"1";"0"
"фотоальбом 200 фото 10*15 595";"2000000000893";"4901";"";"1";"0"
"фотоальбом 300 фото 10*15 420";"2000000000909";"4901";"";"1";"0"
"фотоальбом 300 фото 10*15 350";"2000000000916";"4901";"";"1";"0"
"фотоальбом 72 фото 10*15 199";"2000000000923";"4901";"";"9";"0"
"фотоальбом магнітний 340";"2000000000930";"4901";"";"1";"0"
"фотоальбом магнітний 365";"2000000000947";"4901";"";"1";"0"
"фотоальбом паперовий 155";"2000000000954";"4901";"";"3";"0"
"фотоальбом магнітний 550";"2000000000961";"4901";"";"1";"0"
"фотоальбом 200 фото 10*15 280";"2000000000978";"4901";"";"1";"0"
"фотоальбом 300 фото 10*15 410";"2000000000985";"4901";"";"1";"0"
"фоторамка 10*15 30";"2000000000992";"3926";"";"33";"0"
"фоторамка 10*15 40";"2000000001005";"3926";"";"5";"0"
"фоторамка 10*15 45";"2000000001012";"3926";"";"4";"0"
"фоторамка 10*15 70";"2000000001029";"3926";"";"4";"0"
"фоторамка 15*20 80";"2000000001036";"3926";"";"1";"0"
"фоторамка 15*20 95";"2000000001043";"3926";"";"1";"0"
"фоторамка 15*20 85";"2000000001050";"3926";"";"1";"0"
"фоторамка 15*20 45";"2000000001067";"3926";"";"11";"0"
"фоторамка 15*20 40";"2000000001074";"3926";"";"9";"0"
"фоторамка 20*30 60";"2000000001081";"3926";"";"2";"0"
"фоторамка 20*30 70";"2000000001098";"3926";"";"3";"0"
"фоторамка 30*40 115";"2000000001104";"3926";"";"2";"0"
"фоторамка 30*40 130";"2000000001111";"3926";"";"1";"0"
"послуга друку фото на документи 1";"2000000001128";"";"";"1";"0"
"послуга друку фото на документи 2";"2000000001135";"";"";"1";"0"
"послуга друку фото на документи 4";"2000000001142";"";"";"1";"0"
"послуга друку фото на документи 6";"2000000001159";"";"";"1";"0"
"послуга друку фото на документи 8";"2000000001166";"";"";"1";"0"
"послуга фотомонтажу";"2000000001173";"";"";"1";"0"
"послуга друку фото 15*20";"2000000001180";"";"";"";"1"
"послуга друку фото 20*30";"2000000001197";"";"";"";"1"
"послуга друку фото 30*40";"2000000001203";"";"";"";"1"
"послуга чорно-білого друку А4";"2000000001210";"";"";"";"1"
"послуга запису на електронний носій";"2000000001227";"";"";"";"1"
"послуга надсилання електронною поштою";"2000000001234";"";"";"";"1"
"послуга сканування паперових носіїв";"2000000001241";"";"";"";"1"
"послуга ламінування паперових носіїв А6";"2000000001258";"";"";"";"1"
"послуга ламінування паперових носіїв А5";"2000000001265";"";"";"";"1"
"послуга ламінування паперових носіїв А4";"2000000001272";"";"";"";"1"
"послуга друку фото 10*15";"2000000001289";"";"";"1";"0"
"послуга друку фото 15*20";"2000000001296";"";"";"1";"0"
"послуга друку фото 20*30";"2000000001302";"";"";"1";"0"
"послуга друку фото 30*40";"2000000001319";"";"";"1";"0"
"послуга чорно-білого друку А4";"2000000001326";"";"";"1";"0"
"послуга запису на електронний носій";"2000000001333";"";"";"1";"0"
"послуга надсилання електронною поштою";"2000000001340";"";"";"";"1"
"послуга надсилання електронною поштою";"2000000001357";"";"";"1";"0"
"послуга сканування паперових носіїв";"2000000001364";"";"";"1";"0"
"послуга ламінування паперових носіїв А6";"2000000001371";"";"";"1";"0"
"послуга ламінування паперових носіїв А5";"2000000001388";"";"";"1";"0"
"послуга ламінування паперових носіїв А4";"2000000001395";"";"";"";"1"
"послуга ламінування паперових носіїв А4";"2000000001401";"";"";"1";"0"
"чашка для сублімації хамелеон 195";"2000000001418";"";"";"6";"0"
"чашка для сублімації кольорова 170";"2000000001425";"";"";"3";"0"
"послуга реставрації фото";"2000000001432";"";"";"1";"0"
"послуга діагностика несправності ноутбука";"2000000001449";"";"";"1";"0"
"чашка для сублімації біла 140";"2000000001456";"";"";"";"0"
"послуга машинного друку 10*15";"2000000001463";"";"";"1";"0"
"послуга машинного друку 15*20";"2000000001470";"";"";"1";"0"
"послуга машинного друку 20*30";"2000000001487";"";"";"1";"0"
"послуга машинного друку 30*40";"2000000001494";"";"";"1";"0"
"чашка для сублімації хамелеон 225";"2000000001500";"";"";"8";"0"
"чашка для сублімації 200";"2000000001517";"";"";"1";"0"
"чашка для сублімації латте 250";"2000000001524";"";"";"3";"0"
"чашка для сублімації прозора 160";"2000000001531";"";"";"3";"0"
"чашка для сублімації біла 160";"2000000001548";"";"";"1";"0"
"послуга друку зображення на текстилі 200";"2000000001555";"";"";"1";"0"
"послуга друку зображення на текстилі 50";"2000000001562";"";"";"1";"0"
"послуга друку зображення на текстилі 100";"2000000001579";"";"";"1";"0"
"пазли магітні 220";"2000000001586";"";"";"2";"0"
"пазли паперові 185";"2000000001593";"";"";"7";"0"
"килимок для миші 150";"2000000001609";"";"";"2";"0"
